"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SP8","SP8",-1.1040003587827,2.45787237892745,-4.92215909873354,1.17002221859386e-06,0.0081694143895542,5.09166251360337
"SLC40A1","SLC40A1",0.51162114394539,11.6452012330055,4.87400938405213,1.47784213093259e-06,0.0081694143895542,4.88204934834767
"FRZB","FRZB",0.543077601567602,7.96900264946757,4.77561489401758,2.36759916063534e-06,0.0081694143895542,4.45948751034538
"ZDHHC3","ZDHHC3",0.254638219382482,10.7996563319614,4.77409586154497,2.38473773721762e-06,0.0081694143895542,4.45302500237246
"P2RY12","P2RY12",0.683861349251869,3.98785693370975,4.76669178691543,2.46999938239086e-06,0.0081694143895542,4.42155206603785
"TMEM37","TMEM37",0.542096767869253,8.07805296787397,4.70183719292838,3.35336730115992e-06,0.0081694143895542,4.14776388448064
"C9orf140","C9orf140",-0.525294290600957,8.33242579932216,-4.70147446754574,3.3590732991984e-06,0.0081694143895542,4.1462421842235
"KCNJ5","KCNJ5",0.676063177183734,5.43551137539526,4.68515894848777,3.62561371845274e-06,0.0081694143895542,4.07790582415133
"CHRDL1","CHRDL1",0.846710009774347,7.60816753420513,4.66443909899464,3.99352178078257e-06,0.0081694143895542,3.99143344264833
"CLEC9A","CLEC9A",0.583936647565762,2.27839173244483,4.6376953052602,4.52171245800445e-06,0.00832492480643198,3.88033611850401
"CREBL2","CREBL2",0.224376177526737,10.4903269002163,4.59106446373946,5.60714650818033e-06,0.00861072161446287,3.68801727970974
"CLIC2","CLIC2",0.483024774411868,9.23906398854923,4.58898527488028,5.66095508354453e-06,0.00861072161446287,3.6794833784521
"C11orf84","C11orf84",-0.271868918333785,8.9833620177341,-4.5734126772837,6.08002721134199e-06,0.00861072161446287,3.61567876243441
"ZNF311","ZNF311",0.589197673227753,4.95065292905049,4.52369487061026,7.62666650258249e-06,0.00944228129715678,3.41329918522971
"RCOR2","RCOR2",-0.748666219695459,5.59855844173052,-4.52178854501354,7.69291290301188e-06,0.00944228129715678,3.40557961730343
"GGTA1","GGTA1",0.450233668810789,7.09780316154643,4.47425772296238,9.53478665745286e-06,0.0107044509666391,3.21406901347273
"SLC1A3","SLC1A3",0.513967095319309,7.7649485838408,4.45506158163842,1.03926112200395e-05,0.0107044509666391,3.1372498155255
"PRKCB","PRKCB",0.479805329929305,8.02880660500005,4.42946024580051,1.16523010188648e-05,0.0107044509666391,3.03526978071779
"ARHGAP31","ARHGAP31",0.410822767100045,9.24640719939265,4.424630631872,1.19057840212649e-05,0.0107044509666391,3.01609203718205
"RECQL4","RECQL4",-0.490018300838013,8.3809982317496,-4.42212565673434,1.2039328638344e-05,0.0107044509666391,3.00615268516186
"PTGER4","PTGER4",0.440626328242992,7.85182022382097,4.41166862448771,1.26124594454579e-05,0.0107044509666391,2.9647166379228
"CRYGN","CRYGN",-0.68596154122928,2.35535653730023,-4.40269636271536,1.31249434786287e-05,0.0107044509666391,2.92923583726455
"C17orf87","C17orf87",0.522917505374874,5.16902510144195,4.39848057191474,1.3372569237559e-05,0.0107044509666391,2.91258741764508
"ABI3BP","ABI3BP",0.629711472553614,8.30225995368369,4.38127325133194,1.44304324011481e-05,0.0110699454557308,2.84478670289206
"PTGDS","PTGDS",0.627270820787114,9.6219545137788,4.35666368910829,1.60834064742819e-05,0.0114151169313147,2.74824436530941
"JMJD6","JMJD6",-0.191508506937201,9.14548668240367,-4.34406490234906,1.69982297488108e-05,0.0114151169313147,2.69901356465012
"CNDP2","CNDP2",0.214730416428339,12.0324737950549,4.34388267239127,1.70118198407443e-05,0.0114151169313147,2.6983024492847
"IRF8","IRF8",0.457735294672163,8.65576962632291,4.3392548096486,1.73604515820331e-05,0.0114151169313147,2.68025236515104
"ZNF695","ZNF695",-0.759492847404686,3.96311491749339,-4.3073634974386,1.995533095439e-05,0.0121091562834499,2.55634862585067
"GPC2","GPC2",-0.641155537508057,4.51468784424029,-4.29267281329447,2.12716365632651e-05,0.0121091562834499,2.49955613639967
"C7orf68","C7orf68",-0.465334100140486,8.51517637200647,-4.2925950263835,2.12788221799221e-05,0.0121091562834499,2.49925589764551
"DKK2","DKK2",0.504473942812016,5.85780516252833,4.29111881515032,2.14156283267647e-05,0.0121091562834499,2.4935590293327
"FASTK","FASTK",-0.251199964841571,10.5177405891454,-4.2880307404276,2.17045330157974e-05,0.0121091562834499,2.4816476432631
"CD4","CD4",0.39245457889093,10.9524662805119,4.2760492910363,2.28610779709558e-05,0.0123314961535069,2.43550748511198
"FCHO2","FCHO2",0.291519193325209,10.1356327609041,4.24764081153476,2.58429836419294e-05,0.0123314961535069,2.32658399543808
"TMEM189","TMEM189",-0.210966336554119,10.055408972824,-4.24432224635519,2.62145953822466e-05,0.0123314961535069,2.31390375751873
"RSPO2","RSPO2",0.75666725463791,3.38735998756954,4.23832788731281,2.68987976991243e-05,0.0123314961535069,2.29102253404388
"SLC9A9","SLC9A9",0.369567489514737,6.93376970730019,4.23702382801724,2.70498837847296e-05,0.0123314961535069,2.28604873552246
"FAM65B","FAM65B",0.503387395092476,7.75222557168637,4.23503746297673,2.72815770651599e-05,0.0123314961535069,2.27847528195178
"B4GALNT4","B4GALNT4",-0.998658916813145,6.11884637611099,-4.23239363874553,2.7592895088446e-05,0.0123314961535069,2.26840021543516
"SELL","SELL",0.526114542292615,8.26257632002559,4.22488943977402,2.84950993029775e-05,0.0123314961535069,2.23983496897302
"HLA-DOA","HLA-DOA",0.533444808561939,9.99403169253426,4.22405298966479,2.85973876806857e-05,0.0123314961535069,2.23665386926909
"LRWD1","LRWD1",-0.25330449691577,8.73746482552946,-4.22239681936339,2.88009523980661e-05,0.0123314961535069,2.23035701451236
"CD40LG","CD40LG",0.546769629903027,4.69130586490522,4.21051543433474,3.03023638168877e-05,0.0125094047225682,2.18525030608307
"FOLR2","FOLR2",0.53505054396065,8.20717744951748,4.20761684206644,3.0679812749038e-05,0.0125094047225682,2.17426388821462
"GPR15","GPR15",-0.679355552875643,2.86921967527489,-4.20326574999327,3.12548268555829e-05,0.0125094047225682,2.15778526704281
